"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"SCHL","School disengagement","Mediator",8,1577,616,0.390615091946734,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"SCSP","Low social support","Mediator",7,1574,156,0.0991105463786531,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"VLNC","Violence exposure","Mediator",6,1577,515,0.326569435637286,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"DNKA","Alcohol use","Mediator",2,409,147,0.359413202933985,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"DPBN","Depression","Outcome",1,406,26,0.0640394088669951,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"ESXC","Ever had sexual intercourse","Mediator",3,403,151,0.37468982630273,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"FDSC","Food insecurity","Mediator",4,409,83,0.202933985330073,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"GOVG","No government grant receipt","Mediator",5,409,234,0.572127139364303,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"SCHL","School disengagement","Mediator",8,409,84,0.205378973105134,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"SCSP","Low social support","Mediator",7,409,34,0.0831295843520782,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,"VLNC","Violence exposure","Mediator",6,409,122,0.298288508557457,0.605168704156479
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"DNKA","Alcohol use","Mediator",2,417,154,0.369304556354916,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"DPBN","Depression","Outcome",1,413,29,0.0702179176755448,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"ESXC","Ever had sexual intercourse","Mediator",3,408,197,0.482843137254902,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"FDSC","Food insecurity","Mediator",4,417,103,0.247002398081535,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"GOVG","No government grant receipt","Mediator",5,417,264,0.633093525179856,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"SCHL","School disengagement","Mediator",8,417,127,0.304556354916067,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"SCSP","Low social support","Mediator",7,417,37,0.0887290167865707,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,"VLNC","Violence exposure","Mediator",6,417,123,0.294964028776978,0.548904076738609
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"DNKA","Alcohol use","Mediator",2,448,163,0.363839285714286,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"DPBN","Depression","Outcome",1,444,25,0.0563063063063063,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"ESXC","Ever had sexual intercourse","Mediator",3,435,204,0.468965517241379,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"FDSC","Food insecurity","Mediator",4,448,132,0.294642857142857,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"GOVG","No government grant receipt","Mediator",5,448,265,0.591517857142857,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"SCHL","School disengagement","Mediator",8,448,146,0.325892857142857,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"SCSP","Low social support","Mediator",7,448,47,0.104910714285714,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,"VLNC","Violence exposure","Mediator",6,448,149,0.332589285714286,0.604689732142857
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"DNKA","Alcohol use","Mediator",2,766,266,0.347258485639687,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"DPBN","Depression","Outcome",1,759,35,0.0461133069828722,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"ESXC","Ever had sexual intercourse","Mediator",3,745,251,0.336912751677852,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"FDSC","Food insecurity","Mediator",4,766,198,0.258485639686684,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"GOVG","No government grant receipt","Mediator",5,766,415,0.54177545691906,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"SCHL","School disengagement","Mediator",8,766,147,0.191906005221932,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"SCSP","Low social support","Mediator",7,766,84,0.109660574412533,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,"VLNC","Violence exposure","Mediator",6,766,209,0.272845953002611,0.575462140992167
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"DNKA","Alcohol use","Mediator",2,319,118,0.369905956112853,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"DPBN","Depression","Outcome",1,315,18,0.0571428571428571,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"ESXC","Ever had sexual intercourse","Mediator",3,311,149,0.479099678456592,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"FDSC","Food insecurity","Mediator",4,319,94,0.294670846394984,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"GOVG","No government grant receipt","Mediator",5,319,182,0.570532915360502,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"SCHL","School disengagement","Mediator",8,319,97,0.304075235109718,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"SCSP","Low social support","Mediator",7,319,31,0.0971786833855799,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,"VLNC","Violence exposure","Mediator",6,319,103,0.322884012539185,0.604595611285267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"DNKA","Alcohol use","Mediator",2,686,241,0.35131195335277,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"DPBN","Depression","Outcome",1,680,34,0.05,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"ESXC","Ever had sexual intercourse","Mediator",3,674,195,0.289317507418398,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"FDSC","Food insecurity","Mediator",4,686,123,0.17930029154519,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"GOVG","No government grant receipt","Mediator",5,686,406,0.591836734693878,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"SCHL","School disengagement","Mediator",8,686,127,0.185131195335277,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"SCSP","Low social support","Mediator",7,685,68,0.0992700729927007,0.74998833819242
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,"VLNC","Violence exposure","Mediator",6,686,216,0.314868804664723,0.74998833819242
