"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"DNKA","Alcohol use","Mediator",2,475,173,0.36421052631579,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"DPBN","Depression","Outcome",1,464,26,0.0560344827586207,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"ESXC","Ever had sexual intercourse","Mediator",3,459,201,0.437908496732026,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"FDSC","Food insecurity","Mediator",4,475,112,0.235789473684211,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"GOVG","No government grant receipt","Mediator",5,475,278,0.585263157894737,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"SCHL","School disengagement","Mediator",8,475,136,0.286315789473684,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"SCSP","Low social support","Mediator",7,475,49,0.103157894736842,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Late-Onset Maternal Absence",475,"VLNC","Violence exposure","Mediator",6,475,148,0.311578947368421,0.800987368421053
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"DNKA","Alcohol use","Mediator",2,409,167,0.408312958435208,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"DPBN","Depression","Outcome",1,402,28,0.0696517412935323,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"ESXC","Ever had sexual intercourse","Mediator",3,394,178,0.451776649746193,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"FDSC","Food insecurity","Mediator",4,409,116,0.28361858190709,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"GOVG","No government grant receipt","Mediator",5,409,253,0.618581907090465,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"SCHL","School disengagement","Mediator",8,409,92,0.224938875305623,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"SCSP","Low social support","Mediator",7,408,37,0.0906862745098039,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High Maternal Absence",409,"VLNC","Violence exposure","Mediator",6,409,141,0.344743276283619,0.846987775061125
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"DNKA","Alcohol use","Mediator",2,2793,977,0.349803079126387,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"DPBN","Depression","Outcome",1,2778,160,0.0575953923686105,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"ESXC","Ever had sexual intercourse","Mediator",3,2738,1226,0.447772096420745,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"FDSC","Food insecurity","Mediator",4,2793,801,0.286788399570354,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"GOVG","No government grant receipt","Mediator",5,2793,1687,0.604010025062657,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"SCHL","School disengagement","Mediator",8,2793,767,0.274615109201575,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"SCSP","Low social support","Mediator",7,2793,276,0.0988184747583244,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low Maternal Absence",2793,"VLNC","Violence exposure","Mediator",6,2793,908,0.325098460436806,0.952896885069817
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"DNKA","Alcohol use","Mediator",2,355,142,0.4,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"DPBN","Depression","Outcome",1,352,22,0.0625,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"ESXC","Ever had sexual intercourse","Mediator",3,343,160,0.466472303206997,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"FDSC","Food insecurity","Mediator",4,355,114,0.32112676056338,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"GOVG","No government grant receipt","Mediator",5,355,215,0.605633802816901,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"SCHL","School disengagement","Mediator",8,355,87,0.245070422535211,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"SCSP","Low social support","Mediator",7,355,34,0.0957746478873239,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Declining Maternal Absence",355,"VLNC","Violence exposure","Mediator",6,355,128,0.36056338028169,0.900895774647887
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"DNKA","Alcohol use","Mediator",2,271,109,0.402214022140221,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"DPBN","Depression","Outcome",1,265,17,0.0641509433962264,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"ESXC","Ever had sexual intercourse","Mediator",3,264,128,0.484848484848485,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"FDSC","Food insecurity","Mediator",4,271,76,0.280442804428044,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"GOVG","No government grant receipt","Mediator",5,271,154,0.568265682656827,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"SCHL","School disengagement","Mediator",8,271,83,0.306273062730627,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"SCSP","Low social support","Mediator",7,271,24,0.0885608856088561,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",271,"VLNC","Violence exposure","Mediator",6,271,83,0.306273062730627,0.84719926199262
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"DNKA","Alcohol use","Mediator",2,249,91,0.365461847389558,0.881333333333333
