"Analysis","Spec","Window","WindowLabel","Comparison","ComparatorCondition","UnrestrictedClass","ComparatorClass","n","RowTotal","RowPct","StayedSameLabel"
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 2","Low Maternal Absence, Low SES",322,326,0.987730061349693,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 3","High Maternal Absence, Improving SES",29,203,0.142857142857143,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 3","High Maternal Absence, Low SES",21,203,0.103448275862069,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 3","Low Maternal Absence, Higher SES",6,203,0.0295566502463054,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 3","Low Maternal Absence, Improving SES",69,203,0.339901477832512,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 3","Low Maternal Absence, Low SES",78,203,0.38423645320197,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 4","High Maternal Absence, Improving SES",15,896,0.0167410714285714,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 4","High Maternal Absence, Low SES",1,896,0.00111607142857143,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 4","Low Maternal Absence, Improving SES",880,896,0.982142857142857,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 5","High Maternal Absence, Improving SES",3,254,0.0118110236220472,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 5","High Maternal Absence, Low SES",239,254,0.940944881889764,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 5","Low Maternal Absence, Higher SES",8,254,0.031496062992126,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 5","Low Maternal Absence, Improving SES",2,254,0.0078740157480315,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 5","Low Maternal Absence, Low SES",2,254,0.0078740157480315,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 6","Rising Maternal Absence, Improving SES",601,601,1,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 7","High Maternal Absence, Improving SES",845,858,0.984848484848485,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 7","Low Maternal Absence, Improving SES",2,858,0.00233100233100233,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 7","Rising Maternal Absence, Improving SES",11,858,0.0128205128205128,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 8","High Maternal Absence, Improving SES",2,303,0.0066006600660066,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 8","High Maternal Absence, Low SES",1,303,0.0033003300330033,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 8","Low Maternal Absence, Higher SES",274,303,0.904290429042904,FALSE
