"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","VariableOrder","Depression","Alcohol use","Ever had sexual intercourse","Food insecurity","No government grant receipt","Violence exposure","Low social support","School disengagement"
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,8,,,,,,,,0.324766355140187
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,1,0.0700325732899023,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,2,,0.354581673306773,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,3,,,0.555647155812036,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,4,,,,0.353784860557769,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,5,,,,,0.636653386454183,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,6,,,,,,0.351394422310757,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,7,,,,,,,0.102870813397129,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,8,,,,,,,,0.360159362549801
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,1,0.0521172638436482,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,2,,0.376623376623377,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,3,,,0.475247524752475,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,4,,,,0.288961038961039,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,5,,,,,0.574675324675325,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,6,,,,,,0.327922077922078,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,7,,,,,,,0.0909090909090909,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,8,,,,,,,,0.298701298701299
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,1,0.0631313131313131,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,2,,0.358395989974937,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,3,,,0.376590330788804,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,4,,,,0.205513784461153,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,5,,,,,0.573934837092732,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,6,,,,,,0.298245614035088,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,7,,,,,,,0.0852130325814536,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,8,,,,,,,,0.205513784461153
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,1,0.0440456769983687,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,2,,0.340390879478827,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,3,,,0.31953642384106,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,4,,,,0.250814332247557,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,5,,,,,0.53257328990228,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,6,,,,,,0.271986970684039,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,7,,,,,,,0.115635179153094,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,8,,,,,,,,0.166123778501629
