"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,638,275,0.431034482758622
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,651,167,0.25652841781874
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,651,407,0.625192012288787
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,651,161,0.247311827956988
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,651,63,0.0967741935483872
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,651,212,0.325652841781874
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DNKA","Alcohol use","Mediator",2,719,244,0.339360222531293
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DPBN","Depression","Outcome",1,715,32,0.0447552447552447
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,708,298,0.42090395480226
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","FDSC","Food insecurity","Mediator",4,719,209,0.290681502086231
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","GOVG","No government grant receipt","Mediator",5,719,429,0.596662030598052
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCHL","School disengagement","Mediator",8,719,179,0.248956884561891
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCSP","Low social support","Mediator",7,719,80,0.111265646731572
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","VLNC","Violence exposure","Mediator",6,719,204,0.283727399165508
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,146,52,0.356164383561644
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,146,13,0.0890410958904109
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,146,59,0.404109589041096
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,146,46,0.315068493150685
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,146,95,0.65068493150685
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,146,31,0.212328767123288
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,146,13,0.089041095890411
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,146,52,0.356164383561644
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DNKA","Alcohol use","Mediator",2,183,65,0.355191256830601
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DPBN","Depression","Outcome",1,182,17,0.0934065934065934
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","ESXC","Ever had sexual intercourse","Mediator",3,181,77,0.425414364640884
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","FDSC","Food insecurity","Mediator",4,183,54,0.295081967213115
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","GOVG","No government grant receipt","Mediator",5,183,119,0.650273224043716
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCHL","School disengagement","Mediator",8,183,49,0.26775956284153
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCSP","Low social support","Mediator",7,183,17,0.092896174863388
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","VLNC","Violence exposure","Mediator",6,183,65,0.355191256830601
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,306,117,0.38235294117647
