"model","pv_draw_id","mediator","term","estimate","std.error"
"ULWOM",4,"GOVG","C612_C2",0.231614952331693,0.152593775701634
"ULWOM",4,"GOVG","C612_C3",0.110349332354712,0.113239708044211
"ULWOM",4,"GOVG","C612_C4",0.148267608437667,0.180579615493825
"ULWOM",4,"GOVG","C612_C5",-0.0584155562294873,0.178419850848727
"ULWOM",4,"VLNC","C05_C2",0.174315840315242,0.155710523327283
"ULWOM",4,"VLNC","C05_C3",-0.107605361567604,0.132605416525423
"ULWOM",4,"VLNC","C05_C4",0.0257842477846453,0.166178651129724
"ULWOM",4,"VLNC","C612_C2",0.201987872937573,0.146587480825053
"ULWOM",4,"VLNC","C612_C3",0.168922369299059,0.111435506844619
"ULWOM",4,"VLNC","C612_C4",0.16965812822019,0.174603684272459
"ULWOM",4,"VLNC","C612_C5",-0.0226628974484422,0.17780292822732
"ULWOM",4,"SCSP","C05_C2",0.199493473660992,0.251656112204544
"ULWOM",4,"SCSP","C05_C3",-0.091886187485975,0.205779917253698
"ULWOM",4,"SCSP","C05_C4",-0.0686267854565377,0.262488309210853
"ULWOM",4,"SCSP","C612_C2",0.144409709379153,0.23179399343473
"ULWOM",4,"SCSP","C612_C3",0.204829906856505,0.166590702834079
"ULWOM",4,"SCSP","C612_C4",0.400856074360483,0.281044883460447
"ULWOM",4,"SCSP","C612_C5",0.478083567036587,0.298844267280517
"ULWOM",4,"SCHL","C05_C2",0.0350144303649927,0.232766775066105
"ULWOM",4,"SCHL","C05_C3",-0.0984514765479064,0.200935247361968
"ULWOM",4,"SCHL","C05_C4",-0.143963378244377,0.247744844442467
"ULWOM",4,"SCHL","C612_C2",0.21077824828513,0.216189468574762
"ULWOM",4,"SCHL","C612_C3",0.105771707744426,0.158769010220833
"ULWOM",4,"SCHL","C612_C4",0.156007308420625,0.251817330939392
"ULWOM",4,"SCHL","C612_C5",0.25747828309893,0.260995225772931
"ULWOM",5,"DNKA","C05_C2",0.163357852238882,0.155712154369502
"ULWOM",5,"DNKA","C05_C3",-0.0845133099346066,0.131917452901506
"ULWOM",5,"DNKA","C05_C4",-0.0474054990215424,0.168088535125413
"ULWOM",5,"DNKA","C612_C2",0.047791939885426,0.147425343161117
"ULWOM",5,"DNKA","C612_C3",-0.100459829922536,0.110162840760434
"ULWOM",5,"DNKA","C612_C4",0.232769572895247,0.170508257818282
"ULWOM",5,"DNKA","C612_C5",-0.0724554340219045,0.173538997816209
"ULWOM",5,"ESXC","C05_C2",0.16929522598094,0.196905466415576
"ULWOM",5,"ESXC","C05_C3",0.0913707408228513,0.165797736146434
"ULWOM",5,"ESXC","C05_C4",-0.029883447542441,0.208718134086921
"ULWOM",5,"ESXC","C612_C2",0.0273376646700397,0.179729076079583
"ULWOM",5,"ESXC","C612_C3",-0.218147781905041,0.134722288350042
"ULWOM",5,"ESXC","C612_C4",0.0706809556555714,0.216515304347374
"ULWOM",5,"ESXC","C612_C5",-0.379996889793738,0.211909987537863
"ULWOM",5,"FDSC","C05_C2",0.316788263331043,0.167250417170008
"ULWOM",5,"FDSC","C05_C3",0.292744822473598,0.143094410262743
"ULWOM",5,"FDSC","C05_C4",0.28442648840204,0.177475419601543
"ULWOM",5,"FDSC","C612_C2",0.332250788058885,0.150317983375417
"ULWOM",5,"FDSC","C612_C3",0.0496855333398063,0.114770092430746
"ULWOM",5,"FDSC","C612_C4",-0.0130989479717302,0.179702539981035
"ULWOM",5,"FDSC","C612_C5",0.0447575790820975,0.17812877334889
"ULWOM",5,"GOVG","C05_C2",-0.000498889729465151,0.16263132907347
"ULWOM",5,"GOVG","C05_C3",-0.115159914554898,0.134848231748495
"ULWOM",5,"GOVG","C05_C4",-0.0704400165027949,0.170542815102435
"ULWOM",5,"GOVG","C612_C2",0.112768355526163,0.152185099062358
"ULWOM",5,"GOVG","C612_C3",0.0949004424468424,0.112755698171404
"ULWOM",5,"GOVG","C612_C4",-0.116649479150431,0.178348889210297
"ULWOM",5,"GOVG","C612_C5",0.121667544785819,0.175423265283914
"ULWOM",5,"VLNC","C05_C2",0.0538803345689678,0.156229092985456
"ULWOM",5,"VLNC","C05_C3",-0.0937100748582414,0.131106240754648
"ULWOM",5,"VLNC","C05_C4",-0.0796824975992036,0.165590120661891
"ULWOM",5,"VLNC","C612_C2",0.265182492895517,0.146566597554192
"ULWOM",5,"VLNC","C612_C3",0.145228590332628,0.111117637634965
"ULWOM",5,"VLNC","C612_C4",0.184352464663887,0.17342436319474
"ULWOM",5,"VLNC","C612_C5",0.0551946964919305,0.172489642267155
"ULWOM",5,"SCSP","C05_C2",0.355821074760259,0.25065886182036
"ULWOM",5,"SCSP","C05_C3",-0.00750040315439507,0.200447182105387
"ULWOM",5,"SCSP","C05_C4",0.108751078478022,0.263574322672137
"ULWOM",5,"SCSP","C612_C2",0.114297837305408,0.227504592960695
"ULWOM",5,"SCSP","C612_C3",0.193324239110598,0.167512779105501
"ULWOM",5,"SCSP","C612_C4",0.535604228350111,0.287593606785991
"ULWOM",5,"SCSP","C612_C5",0.333854281677198,0.281394142012753
"ULWOM",5,"SCHL","C05_C2",0.12224373909376,0.233853724035454
"ULWOM",5,"SCHL","C05_C3",-0.13624987520596,0.202858285888357
"ULWOM",5,"SCHL","C05_C4",-0.062812363427847,0.253003275525439
"ULWOM",5,"SCHL","C612_C2",0.497385561362765,0.217917441118274
"ULWOM",5,"SCHL","C612_C3",0.288958493041737,0.157161681667153
"ULWOM",5,"SCHL","C612_C4",0.257058601162247,0.246604953990419
"ULWOM",5,"SCHL","C612_C5",0.481459553672808,0.256404215064798
"ULWOM",6,"DNKA","C05_C2",0.0535832261612574,0.155331367617044
"ULWOM",6,"DNKA","C05_C3",-0.13148872545748,0.129435236821464
"ULWOM",6,"DNKA","C05_C4",-0.194333701392695,0.16575228539419
"ULWOM",6,"DNKA","C612_C2",0.129127767674066,0.146229585936194
"ULWOM",6,"DNKA","C612_C3",-0.112931717467336,0.110766517896587
"ULWOM",6,"DNKA","C612_C4",0.149437701300549,0.172577310602373
"ULWOM",6,"DNKA","C612_C5",0.00496479038337765,0.173805414690008
"ULWOM",6,"ESXC","C05_C2",0.038925747691478,0.196818019243658
"ULWOM",6,"ESXC","C05_C3",-0.023309829367858,0.160799705179912
"ULWOM",6,"ESXC","C05_C4",-0.202281053420282,0.202059876427911
"ULWOM",6,"ESXC","C612_C2",0.0892183233652979,0.178228897940712
"ULWOM",6,"ESXC","C612_C3",-0.17279786030293,0.13535049142479
"ULWOM",6,"ESXC","C612_C4",0.195682712038769,0.217111099835885
"ULWOM",6,"ESXC","C612_C5",-0.352166910324548,0.214282294531866
"ULWOM",6,"FDSC","C05_C2",0.232822297641558,0.167779367852351
"ULWOM",6,"FDSC","C05_C3",0.30074918619233,0.140339703212487
"ULWOM",6,"FDSC","C05_C4",0.332058926436001,0.173219940225443
"ULWOM",6,"FDSC","C612_C2",0.255500533563395,0.150389282601567
"ULWOM",6,"FDSC","C612_C3",0.0140471233154191,0.114789902600235
"ULWOM",6,"FDSC","C612_C4",-0.234846121674435,0.186896807122598
"ULWOM",6,"FDSC","C612_C5",0.0932226612337283,0.17729567057481
"ULWOM",6,"GOVG","C05_C2",0.0370366521551845,0.162880463241907
"ULWOM",6,"GOVG","C05_C3",-0.0266030067618796,0.133074421704642
"ULWOM",6,"GOVG","C05_C4",-0.0862085027966633,0.167118967744138
"ULWOM",6,"GOVG","C612_C2",0.231110084098238,0.153035646138301
"ULWOM",6,"GOVG","C612_C3",0.0383369584119258,0.113293666360103
"ULWOM",6,"GOVG","C612_C4",-0.0685113739441156,0.179000389955009
"ULWOM",6,"GOVG","C612_C5",-0.0348656226579898,0.176396282943648
"ULWOM",6,"VLNC","C05_C2",0.0837610398105064,0.155396982318978
"ULWOM",6,"VLNC","C05_C3",-0.105468269247503,0.12911103443618
"ULWOM",6,"VLNC","C05_C4",-0.126522163035726,0.163182167329641
"ULWOM",6,"VLNC","C612_C2",0.216623294573631,0.146205510269649
"ULWOM",6,"VLNC","C612_C3",0.122884717585023,0.111186605464631
"ULWOM",6,"VLNC","C612_C4",0.0486318543235004,0.17481982454636
"ULWOM",6,"VLNC","C612_C5",0.0225501939075505,0.175066806919486
"ULWOM",6,"SCSP","C05_C2",0.585144869792576,0.262012387527984
"ULWOM",6,"SCSP","C05_C3",0.00846446709108648,0.194889276143634
"ULWOM",6,"SCSP","C05_C4",-0.090860054420344,0.246778083768761
"ULWOM",6,"SCSP","C612_C2",0.130407428669892,0.225706989291114
"ULWOM",6,"SCSP","C612_C3",0.26666602830037,0.166559696824652
"ULWOM",6,"SCSP","C612_C4",0.714085340647588,0.305503280510887
"ULWOM",6,"SCSP","C612_C5",0.339606139388662,0.276657002859817
"ULWOM",6,"SCHL","C05_C2",0.199037697417486,0.232747724531679
"ULWOM",6,"SCHL","C05_C3",-0.14758154826851,0.193343788391331
"ULWOM",6,"SCHL","C05_C4",-0.0111498780389343,0.2410090845019
"ULWOM",6,"SCHL","C612_C2",0.438824940957023,0.212941942131633
"ULWOM",6,"SCHL","C612_C3",0.231977528826539,0.159036126561449
"ULWOM",6,"SCHL","C612_C4",0.43995070115815,0.256703593392609
"ULWOM",6,"SCHL","C612_C5",0.125725370285582,0.2560312282805
"ULWOM",7,"DNKA","C05_C2",-0.000542553084340809,0.155043704886698
"ULWOM",7,"DNKA","C05_C3",-0.207601986500278,0.130628012051854
"ULWOM",7,"DNKA","C05_C4",-0.209016428471344,0.167462673028819
"ULWOM",7,"DNKA","C612_C2",0.0360207579046969,0.149036365517256
"ULWOM",7,"DNKA","C612_C3",-0.0649408449708851,0.109459944956434
"ULWOM",7,"DNKA","C612_C4",0.154413221232327,0.169533701391439
"ULWOM",7,"DNKA","C612_C5",0.21093959561883,0.17359661624246
"ULWOM",7,"ESXC","C05_C2",0.181294144334937,0.195688618346755
"ULWOM",7,"ESXC","C05_C3",0.0228487933009863,0.163514960727406
"ULWOM",7,"ESXC","C05_C4",-0.124559029872015,0.2058610505594
"ULWOM",7,"ESXC","C612_C2",0.0596302069273428,0.180605196163612
"ULWOM",7,"ESXC","C612_C3",-0.167522361024691,0.134179704131322
"ULWOM",7,"ESXC","C612_C4",0.0103813472962605,0.216274431510084
"ULWOM",7,"ESXC","C612_C5",-0.191288338274375,0.212362213566335
"ULWOM",7,"FDSC","C05_C2",0.215288943051591,0.168631611887124
"ULWOM",7,"FDSC","C05_C3",0.315707220067941,0.142431069251999
"ULWOM",7,"FDSC","C05_C4",0.38720158366788,0.175575363818084
"ULWOM",7,"FDSC","C612_C2",0.209457365794619,0.15276428279076
"ULWOM",7,"FDSC","C612_C3",-0.0098317479432009,0.113358419441198
"ULWOM",7,"FDSC","C612_C4",-0.0267074803900272,0.177076719264106
"ULWOM",7,"FDSC","C612_C5",0.114518500491343,0.177511315477988
"ULWOM",7,"GOVG","C05_C2",0.0354039529863755,0.161934169736436
"ULWOM",7,"GOVG","C05_C3",-0.0363015322137763,0.13494881475426
"ULWOM",7,"GOVG","C05_C4",-0.0186173420919125,0.170586217818074
"ULWOM",7,"GOVG","C612_C2",0.126044547789573,0.152922246263095
"ULWOM",7,"GOVG","C612_C3",0.0737888323599774,0.112016082339688
"ULWOM",7,"GOVG","C612_C4",-0.165766639894919,0.176318336037859
"ULWOM",7,"GOVG","C612_C5",0.0849352647328099,0.179403410157336
"ULWOM",7,"VLNC","C05_C2",0.0825135956796768,0.156389996988118
"ULWOM",7,"VLNC","C05_C3",-0.0625032809572624,0.131534475110086
"ULWOM",7,"VLNC","C05_C4",-0.085214032880782,0.166730311412335
"ULWOM",7,"VLNC","C612_C2",0.0341522849789081,0.149047369903802
"ULWOM",7,"VLNC","C612_C3",0.117880277253924,0.109430161305464
"ULWOM",7,"VLNC","C612_C4",0.106499650914445,0.17106249630225
"ULWOM",7,"VLNC","C612_C5",-0.133518679560213,0.179965559485265
"ULWOM",7,"SCSP","C05_C2",0.439914327657835,0.249872321023758
"ULWOM",7,"SCSP","C05_C3",0.0813534140026367,0.197364159980699
"ULWOM",7,"SCSP","C05_C4",0.209407565855536,0.261823684073664
"ULWOM",7,"SCSP","C612_C2",0.211850399656958,0.237728475266791
"ULWOM",7,"SCSP","C612_C3",0.136572431738271,0.167057840386491
"ULWOM",7,"SCSP","C612_C4",0.615621428363605,0.298607136957325
"ULWOM",7,"SCSP","C612_C5",0.284320017513224,0.281559619163036
"ULWOM",7,"SCHL","C05_C2",0.289492230927137,0.231522260169204
"ULWOM",7,"SCHL","C05_C3",-0.00439178345844739,0.194557491732721
"ULWOM",7,"SCHL","C05_C4",0.0402223142655676,0.246550623435833
"ULWOM",7,"SCHL","C612_C2",0.402398431249188,0.221179466044607
"ULWOM",7,"SCHL","C612_C3",0.169859567602454,0.157590905998729
"ULWOM",7,"SCHL","C612_C4",0.517947963109004,0.254055612913522
"ULWOM",7,"SCHL","C612_C5",-0.100192991380668,0.248930014207214
"ULWOM",8,"DNKA","C05_C2",0.0759916306528153,0.155398893781148
"ULWOM",8,"DNKA","C05_C3",-0.151911464847124,0.130995508794763
"ULWOM",8,"DNKA","C05_C4",-0.172337208994173,0.165610896108494
"ULWOM",8,"DNKA","C612_C2",0.229282822825006,0.145738708463622
"ULWOM",8,"DNKA","C612_C3",-0.0594209541835474,0.111192193585373
"ULWOM",8,"DNKA","C612_C4",0.164549095445904,0.169381675176565
"ULWOM",8,"DNKA","C612_C5",0.020714722490116,0.176735991305427
"ULWOM",8,"ESXC","C05_C2",0.392639739095275,0.196428524566293
"ULWOM",8,"ESXC","C05_C3",0.149419631724627,0.164843917713357
"ULWOM",8,"ESXC","C05_C4",0.0541406584850435,0.205457032063255
"ULWOM",8,"ESXC","C612_C2",0.0700280855360435,0.179301986985871
"ULWOM",8,"ESXC","C612_C3",-0.206952394679535,0.135410656765431
"ULWOM",8,"ESXC","C612_C4",0.00250084843965091,0.214095684478145
"ULWOM",8,"ESXC","C612_C5",-0.31620406740291,0.215935920787346
"ULWOM",8,"FDSC","C05_C2",0.324620007216285,0.166455742008821
"ULWOM",8,"FDSC","C05_C3",0.329258314869823,0.142603215945538
"ULWOM",8,"FDSC","C05_C4",0.158861645885568,0.177694367081119
"ULWOM",8,"FDSC","C612_C2",0.232222079363426,0.150333612328673
"ULWOM",8,"FDSC","C612_C3",0.0104658861155035,0.115262610552381
"ULWOM",8,"FDSC","C612_C4",-0.00576159942370604,0.175865451531289
"ULWOM",8,"FDSC","C612_C5",-0.0380162261322755,0.183025047306446
"ULWOM",8,"GOVG","C05_C2",0.0547883323066878,0.162593465910894
"ULWOM",8,"GOVG","C05_C3",-0.110187270117259,0.134684157043681
"ULWOM",8,"GOVG","C05_C4",-0.158312473161697,0.16873253064354
"ULWOM",8,"GOVG","C612_C2",0.146005928346581,0.151452097234884
"ULWOM",8,"GOVG","C612_C3",0.122081202686909,0.113282320225219
