"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",40,"DNKA",0.316436996317881,0.154958092952725
"ULWOM",40,"ESXC",0.431448004663815,0.190032393338673
"ULWOM",40,"FDSC",0.724743017315568,0.144217550886506
"ULWOM",40,"GOVG",0.102576100301223,0.160465864664179
"ULWOM",40,"VLNC",0.614439939845196,0.148718118930074
"ULWOM",40,"SCSP",0.0353520369843264,0.243385443989278
"ULWOM",40,"SCHL",0.178776357522805,0.186404810881603
"ULWOM",41,"DNKA",0.315947924825275,0.154992511107811
"ULWOM",41,"ESXC",0.435644908141184,0.190200789060259
"ULWOM",41,"FDSC",0.723272858606165,0.144232726312961
"ULWOM",41,"GOVG",0.105799397845126,0.160402954078495
"ULWOM",41,"VLNC",0.61761115743467,0.148568244086088
"ULWOM",41,"SCSP",0.0352799066674041,0.24314327410559
"ULWOM",41,"SCHL",0.189159619545167,0.186183244562237
"ULWOM",42,"DNKA",0.310277192120829,0.155132422701659
"ULWOM",42,"ESXC",0.441958930098231,0.189844989073655
"ULWOM",42,"FDSC",0.720199397610992,0.144321537037438
"ULWOM",42,"GOVG",0.101033011761635,0.160475201531551
"ULWOM",42,"VLNC",0.620567844790887,0.148621601949975
"ULWOM",42,"SCSP",0.053068614644169,0.243316015308607
"ULWOM",42,"SCHL",0.188993499825088,0.186981391186807
"ULWOM",43,"DNKA",0.306731944085883,0.15495841950196
"ULWOM",43,"ESXC",0.445131651456257,0.190072564832836
"ULWOM",43,"FDSC",0.723371068087324,0.14439650614647
"ULWOM",43,"GOVG",0.108438349851731,0.160448945780519
"ULWOM",43,"VLNC",0.624953657183752,0.14867633237556
"ULWOM",43,"SCSP",0.0465063185731442,0.243318291983138
"ULWOM",43,"SCHL",0.197466747077218,0.186571903527062
"ULWOM",44,"DNKA",0.307921308257475,0.155113526000209
"ULWOM",44,"ESXC",0.434164706006069,0.189600982052015
"ULWOM",44,"FDSC",0.718324626733757,0.144233508968707
"ULWOM",44,"GOVG",0.0977923707188686,0.160607448157757
"ULWOM",44,"VLNC",0.623993174753267,0.148621275910271
