"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",14,"SCSP",0.0404093104604308,0.24308091022781
"ULWOM",14,"SCHL",0.186641074998412,0.186511146520352
"ULWOM",15,"DNKA",0.309319875926323,0.154906598644154
"ULWOM",15,"ESXC",0.435699603049838,0.189885389365864
"ULWOM",15,"FDSC",0.717822332227191,0.144178154319926
"ULWOM",15,"GOVG",0.10940128899357,0.160295756886899
"ULWOM",15,"VLNC",0.61900186845893,0.148449821716684
"ULWOM",15,"SCSP",0.0414804036606757,0.243173063941206
"ULWOM",15,"SCHL",0.178646299876194,0.186296462981604
"ULWOM",16,"DNKA",0.311540628170587,0.154979696927753
"ULWOM",16,"ESXC",0.434677516247089,0.19013609338901
"ULWOM",16,"FDSC",0.71760073929627,0.14428989524194
"ULWOM",16,"GOVG",0.109795415043866,0.160387748314709
"ULWOM",16,"VLNC",0.612070212935929,0.148924855179779
"ULWOM",16,"SCSP",0.0324474043979461,0.243067899688902
"ULWOM",16,"SCHL",0.187634299002044,0.186357793704398
"ULWOM",17,"DNKA",0.305087604874352,0.155075489322364
"ULWOM",17,"ESXC",0.450100630116026,0.18957766228753
"ULWOM",17,"FDSC",0.720147099096441,0.144246045572237
"ULWOM",17,"GOVG",0.103925550342076,0.160471924482615
"ULWOM",17,"VLNC",0.621520401527571,0.148627222041218
"ULWOM",17,"SCSP",0.0454011034683308,0.243343929672978
"ULWOM",17,"SCHL",0.175863758854407,0.186591514593263
"ULWOM",18,"DNKA",0.304645575629409,0.154954373542756
"ULWOM",18,"ESXC",0.437536404647513,0.18973856516905
"ULWOM",18,"FDSC",0.721991128200665,0.144216403902022
"ULWOM",18,"GOVG",0.106998858668167,0.160376457092142
"ULWOM",18,"VLNC",0.622177057651175,0.148631576582458
"ULWOM",18,"SCSP",0.046864943293748,0.243154445665291
"ULWOM",18,"SCHL",0.185317708474703,0.186466261321266
"ULWOM",19,"DNKA",0.307524202122601,0.155025729334081
"ULWOM",19,"ESXC",0.436987141807779,0.190624852851899
"ULWOM",19,"FDSC",0.720528666076158,0.1443329945057
"ULWOM",19,"GOVG",0.101676179388501,0.160241368074187
"ULWOM",19,"VLNC",0.617936208189607,0.148574441407893
"ULWOM",19,"SCSP",0.0420052463340724,0.243218395734813
"ULWOM",19,"SCHL",0.190264262061444,0.1868499501054
"ULWOM",20,"DNKA",0.307451600433768,0.154961420669583
"ULWOM",20,"ESXC",0.429340177398236,0.190138482684307
"ULWOM",20,"FDSC",0.722797666455066,0.144260499107121
"ULWOM",20,"GOVG",0.0930944074490927,0.160745341395853
"ULWOM",20,"VLNC",0.614496479706696,0.148493152179564
"ULWOM",20,"SCSP",0.0245800047791228,0.243335459295842
"ULWOM",20,"SCHL",0.181756082158533,0.18656573281305
"ULWOM",21,"DNKA",0.296273985909423,0.155016738056732
"ULWOM",21,"ESXC",0.448578288632807,0.190115333254883
