"adjustment_code","adjustment_label","term","pathway_label","estimate","odds_ratio","or_conf.low","or_conf.high","p.value","n_subjects","n_pseudo_rows","total_weight","model_code","model_label"
"sex_age","Sex + age","SCSP","Low social support",0.064229995714995,1.06633762364426,0.69073565261554,1.64618102930353,0.771878522222802,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","SCHL","School disengagement",-0.105911972506518,0.899503825658121,0.637664858553375,1.26885952945433,0.546243616275896,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","DNKA","Alcohol use",0.204142408992414,1.22647280177609,0.913657855872672,1.64638822271138,0.174175550284434,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","ESXC","Ever had sexual intercourse",0.502620123332701,1.65304678799043,1.11520410026533,2.45028123787863,0.0123147330166714,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","FDSC","Food insecurity",0.72695576534071,2.06877318088215,1.57460666960392,2.71802638497258,1.78806526286455e-07,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","GOVG","Lack of government grant receipt",0.190380976355787,1.2097103809304,0.89377043015332,1.6373323130412,0.217658026877872,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","VLNC","Violence exposure",0.706730002161372,2.02735097440173,1.537775260548,2.67279106307314,5.39607347577819e-07,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SCSP","Low social support",0.051976233820392,1.05335070809376,0.683109434727936,1.62426056182862,0.814028703891569,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SCHL","School disengagement",-0.121417431265461,0.885664178500346,0.62559459967553,1.25384879838401,0.493619889335604,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","DNKA","Alcohol use",0.239848879374016,1.27105705286934,0.939761178379079,1.71914531991572,0.119530671207762,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","ESXC","Ever had sexual intercourse",0.470843902229121,1.60134500177861,1.0788456042712,2.37689786617207,0.0194588772944919,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","FDSC","Food insecurity",0.729673654545892,2.07440352503833,1.57800413821125,2.72695735105568,1.70557872101761e-07,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","GOVG","Lack of government grant receipt",0.177773768261784,1.19455504439926,0.880666041372918,1.62032108320557,0.253048949195701,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","VLNC","Violence exposure",0.642343861723444,1.90093118165649,1.44085183361438,2.50791876936393,5.53775409973685e-06,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCSP","Low social support",0.130941163398427,1.13990071145494,0.728042359476407,1.78475004244252,0.567026147304582,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCHL","School disengagement",-0.119424042306807,0.887431412502027,0.629284107021369,1.25147688159968,0.495911138250463,4069,20364,4068.00300000024,"JPAES","Joint parental absence and socioeconomic status"
