model_code,response,response_label,path,hypothesis_id,hypothesis,role,window,reference_label,comparator_label,expected_direction,contrast_label,hypothesis_supported,effect_group,effect_type,term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,or_conf.low,or_conf.high,class,class_window,class_label,benchmark_class,benchmark_label,term_label,n_subjects,n_pseudo_rows,total_weight
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class4,0.06584441128328068,0.11627420430977067,0.5662856320896594,0.5711996259877555,-0.16205302916386982,0.2937418517304312,1.068060526070969,0.8503961075499742,1.3414375691788523,4,Middle–Late Childhood (6–12 Years),Stable High Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class1,0.0733368840170944,0.1326756521691214,0.5527531451182318,0.580432456534355,-0.1867073942343835,0.3333811622685723,1.0760929943889275,0.8296864719161008,1.3956791773387196,1,Early Childhood (0–5 Years),Late-Onset Maternal Absence,2,Stable Low Maternal Absence,Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class3,0.14862026047970306,0.1371898030795215,1.0833185640885856,0.2786670481292109,-0.1202717535561591,0.4175122745155652,1.160232319480093,0.8866794456810181,1.518180038708632,3,Early Childhood (0–5 Years),Stable High Maternal Absence,2,Stable Low Maternal Absence,Early: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,"Early Peak, Declining Maternal Absence",higher,"H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,Two-window class history,early_class,early_class4,-0.017322799575999696,0.11376543832886728,-0.15226768191165263,0.8789758137560293,-0.24030305870057955,0.20565745954858017,0.9828263774864244,0.7863895027692411,1.2283323783971418,4,Early Childhood (0–5 Years),"Early Peak, Declining Maternal Absence",2,Stable Low Maternal Absence,"Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class1,-0.15093046372943264,0.1557856240948965,-0.9688343491662212,0.3326278454380059,-0.45627028695542976,0.15440935949656448,0.8599074913402821,0.6336425486357717,1.1669684986514064,1,Middle–Late Childhood (6–12 Years),Late-Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Mid-Childhood Onset Maternal Absence,higher,H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class2,-0.1310176596656623,0.14854948751167493,-0.8819798833393165,0.3777876859384475,-0.4221746551885452,0.16013933585722057,0.8772022831552202,0.6556195220419719,1.173674394527059,2,Middle–Late Childhood (6–12 Years),Mid-Childhood Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Declining Maternal Absence,higher,H1: Declining Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class3,0.09402575447790194,0.12930720689316555,0.7271501468250461,0.4671339819951069,-0.1594163710327025,0.3474678799885064,1.0985880391142107,0.8526412699237823,1.4154788446877442,3,Middle–Late Childhood (6–12 Years),Declining Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,GOVG,Lack of government grant receipt,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class4,-0.17799830484728543,0.11581508279249784,-1.5369181677847545,0.12431334992839004,-0.4049958671205812,0.04899925742601033,0.8369438422351917,0.6669795673989051,1.0502195708740019,4,Middle–Late Childhood (6–12 Years),Stable High Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class1,0.15297565353386114,0.1319027774480985,1.159760669892296,0.2461462611535788,-0.10555379026441195,0.41150509733213425,1.1652966077429678,0.8998260696627731,1.5090874001085268,1,Early Childhood (0–5 Years),Late-Onset Maternal Absence,2,Stable Low Maternal Absence,Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,TRUE,Two-window class history,early_class,early_class3,0.25582211746100464,0.1298253056618932,1.9705104190337714,0.04877990207454446,0.001364518363693945,0.5102797165583153,1.2915229681204397,1.001365449742456,1.665757069620922,3,Early Childhood (0–5 Years),Stable High Maternal Absence,2,Stable Low Maternal Absence,Early: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
