model_code,model_label,pathway_label,adjustment_code,adjustment_label,estimate,odds_ratio,p.value,abs_log_or,previous_abs_log_or,attenuation_step,attenuation_label,significant
JPAES,Joint parental absence and socioeconomic status,Food insecurity,sex_age,Sex + age,0.7323682038933633,2.0800006451747843,1.4783018623026247e-7,0.7323682038933633,0.743866420093364,0.011498216200000688,2% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Food insecurity,sex_age_rural,Sex + age + rural,0.7269557653407099,2.0687731808821472,1.7880652628645494e-7,0.7269557653407099,0.7323682038933633,0.005412438552653387,1% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Food insecurity,sex_age_rural_clyr,Sex + age + rural + calendar year,0.729673654545892,2.07440352503833,1.7055787210176126e-7,0.729673654545892,0.7269557653407099,-0.0027178892051820114,0% increase in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Lack of government grant receipt,sex_only,Sex only,0.28419407929247326,1.328690777096602,0.06410184284995887,0.28419407929247326,-,-,Starting model,FALSE
JPAES,Joint parental absence and socioeconomic status,Lack of government grant receipt,sex_age,Sex + age,0.20029256459092337,1.2217601496359598,0.19303361257819918,0.20029256459092337,0.28419407929247326,0.08390151470154988,30% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Lack of government grant receipt,sex_age_rural,Sex + age + rural,0.19038097635578688,1.2097103809303964,0.21765802687787228,0.19038097635578688,0.20029256459092337,0.009911588235136493,5% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Lack of government grant receipt,sex_age_rural_clyr,Sex + age + rural + calendar year,0.17777376826178384,1.194555044399265,0.25304894919570137,0.17777376826178384,0.19038097635578688,0.012607208094003036,7% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Low social support,sex_only,Sex only,0.1121435397419577,1.1186734232157178,0.6085683366243531,0.1121435397419577,-,-,Starting model,FALSE
JPAES,Joint parental absence and socioeconomic status,Low social support,sex_age,Sex + age,0.06422999571499502,1.0663376236442643,0.7718785222228022,0.06422999571499502,0.1121435397419577,0.047913544026962684,43% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Low social support,sex_age_rural,Sex + age + rural,0.05197623382039197,1.053350708093761,0.8140287038915689,0.05197623382039197,0.06422999571499502,0.012253761894603046,19% reduction in |log(OR)|,FALSE
